Name,Price
"Redmi 2 (White, 8 GB)","₹4,990"
"Redmi Y2 (Dark Grey, 32 GB)","₹8,999"
"Redmi Y2 (Black, 32 GB)","₹7,990"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","₹11,990"
"Redmi Y2 (Blue, 32 GB)","₹9,299"
"Redmi K20 Pro (Pearl White, 256 GB)","₹31,999"
"Mi 10i (Atlantic Blue, 128 GB)","₹19,990"
"Redmi K20 (Flame Red, 64 GB)","₹18,990"
"Redmi K20 (Pearl White, 64 GB)","₹22,999"
"Redmi K20 Pro (Pearl White, 128 GB)","₹28,999"
"Mi 10i (Atlantic Blue, 64 GB)","₹23,999"
"Mi 10i (Midnight Black, 64 GB)","₹20,990"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹19,999"
"Xiaomi 11i 5G (Camo Green, 128 GB)","₹22,999"
"Redmi K20 Pro (Flame Red, 256 GB)","₹31,999"
"Mi 5 (Gold, 32 GB)","₹24,999"
"Mi A2 (Gold, 128 GB)","₹13,999"
"Mi A2 (Black, 128 GB)","₹13,999"
"Mi 5 (White, 32 GB)","₹24,999"
"Redmi 8A (Midnight Black, 32 GB)","₹7,900"
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹23,998"
"Redmi Note 5 Pro (Blue, 64 GB)","₹13,499"
"Redmi Note 5 Pro (Red, 64 GB)","₹12,500"
"Redmi Note 7 Pro (MOONLIGHT WHITE, 64 GB)","₹12,500"
